UID          PID    PPID  C STIME TTY          TIME CMD
root         879       1  0 01:11 ?        00:00:00 /usr/sbin/cupsd -l
root         882       1  0 01:11 ?        00:00:00 /usr/bin/python3 /usr/share/unattended-upgrades/unattended-upgrade-shutdown --wait-for-signal
root         915       1  0 01:11 ?        00:00:00 /usr/sbin/cups-browsed
root         917       1  0 01:11 ?        00:00:00 /usr/sbin/cron -f -P
kernoops     925       1  0 01:11 ?        00:00:00 /usr/sbin/kerneloops --test
root         934       1  0 01:11 ?        00:00:00 /sbin/agetty -o -p -- \u --keep-baud 115200,57600,38400,9600 ttyAMA0 vt220
kernoops     938       1  0 01:11 ?        00:00:00 /usr/sbin/kerneloops
root         945       1  0 01:11 ?        00:00:00 sshd: /usr/sbin/sshd -D [listener] 0 of 10-100 startups
root         951       1  0 01:11 ?        00:00:00 /usr/sbin/gdm3
rtkit       1133       1  0 01:11 ?        00:00:00 /usr/libexec/rtkit-daemon
root        1245       1  0 01:11 ?        00:00:00 /usr/libexec/upowerd
root        1276       1  0 01:11 ?        00:00:02 /usr/libexec/packagekitd
colord      1440       1  0 01:11 ?        00:00:00 /usr/libexec/colord
root        1452       1  0 01:11 ?        00:00:01 /usr/sbin/spice-vdagentd
root        1592     951  0 01:13 ?        00:00:00 gdm-session-worker [pam/gdm-password]
cecilia     1605       1  0 01:13 ?        00:00:00 /lib/systemd/systemd --user
cecilia     1606    1605  0 01:13 ?        00:00:00 (sd-pam)
cecilia     1612    1605  0 01:13 ?        00:00:00 /usr/bin/pipewire
cecilia     1613    1605  0 01:13 ?        00:00:00 /usr/bin/pipewire-media-session
cecilia     1614    1605  0 01:13 ?        00:00:00 /usr/bin/pulseaudio --daemonize=no --log-target=journal
cecilia     1618    1605  0 01:13 ?        00:00:00 /usr/bin/dbus-daemon --session --address=systemd: --nofork --nopidfile --systemd-activation --syslog-only
cecilia     1622       1  0 01:13 ?        00:00:00 /usr/bin/gnome-keyring-daemon --daemonize --login
cecilia     1627    1605  0 01:13 ?        00:00:00 /usr/libexec/gvfsd
cecilia     1632    1605  0 01:13 ?        00:00:00 /usr/libexec/gvfsd-fuse /run/user/1000/gvfs -f
cecilia     1635    1592  0 01:13 tty2     00:00:00 /usr/libexec/gdm-wayland-session env GNOME_SHELL_SESSION_MODE=ubuntu /usr/bin/gnome-session --session=ubuntu
cecilia     1643    1635  0 01:13 tty2     00:00:00 /usr/libexec/gnome-session-binary --session=ubuntu
cecilia     1688    1605  0 01:13 ?        00:00:00 /usr/libexec/gnome-session-ctl --monitor
cecilia     1727    1605  0 01:13 ?        00:00:00 /usr/libexec/gnome-session-binary --systemd-service --session=ubuntu
cecilia     1740    1727  0 01:13 ?        00:00:00 /usr/libexec/at-spi-bus-launcher --launch-immediately
cecilia     1744    1605  0 01:13 ?        00:01:29 /usr/bin/gnome-shell
cecilia     1751    1740  0 01:13 ?        00:00:00 /usr/bin/dbus-daemon --config-file=/usr/share/defaults/at-spi2/accessibility.conf --nofork --print-address 11 --address=unix:path=/run/user/1000/at-spi/bus
cecilia     1773    1605  0 01:13 ?        00:00:00 /usr/libexec/xdg-permission-store
cecilia     1775    1605  0 01:13 ?        00:00:00 /usr/libexec/gnome-shell-calendar-server
cecilia     1785    1605  0 01:13 ?        00:00:00 /usr/libexec/evolution-source-registry
cecilia     1789    1605  0 01:13 ?        00:00:00 /usr/libexec/dconf-service
cecilia     1793    1605  0 01:13 ?        00:00:00 /usr/libexec/gvfs-udisks2-volume-monitor
cecilia     1800    1605  0 01:13 ?        00:00:00 /usr/libexec/goa-daemon
cecilia     1805    1605  0 01:13 ?        00:00:00 /usr/libexec/gvfs-gphoto2-volume-monitor
cecilia     1809    1605  0 01:13 ?        00:00:01 /usr/libexec/gvfs-afc-volume-monitor
cecilia     1816    1605  0 01:13 ?        00:00:00 /usr/libexec/evolution-calendar-factory
cecilia     1817    1605  0 01:13 ?        00:00:00 /usr/libexec/gvfs-goa-volume-monitor
cecilia     1826    1605  0 01:13 ?        00:00:00 /usr/libexec/goa-identity-service
cecilia     1828    1605  0 01:13 ?        00:00:00 /usr/libexec/gvfs-mtp-volume-monitor
cecilia     1844    1605  0 01:13 ?        00:00:00 /usr/libexec/evolution-addressbook-factory
cecilia     1847    1605  0 01:13 ?        00:00:00 /usr/libexec/gvfsd-metadata
cecilia     1859    1627  0 01:13 ?        00:00:00 /usr/libexec/gvfsd-trash --spawner :1.3 /org/gtk/gvfs/exec_spaw/0
cecilia     1869    1605  0 01:13 ?        00:00:00 /usr/libexec/at-spi2-registryd --use-gnome-session
cecilia     1871    1605  0 01:13 ?        00:00:00 /usr/bin/gjs /usr/share/gnome-shell/org.gnome.Shell.Notifications
cecilia     1881    1605  0 01:13 ?        00:00:00 sh -c /usr/bin/ibus-daemon --panel disable $([ "$XDG_SESSION_TYPE" = "x11" ] && echo "--xim")
cecilia     1882    1605  0 01:13 ?        00:00:00 /usr/libexec/gsd-a11y-settings
cecilia     1883    1605  0 01:13 ?        00:00:00 /usr/libexec/gsd-color
cecilia     1886    1605  0 01:13 ?        00:00:00 /usr/libexec/gsd-datetime
cecilia     1887    1605  0 01:13 ?        00:00:00 /usr/libexec/gsd-housekeeping
cecilia     1891    1605  0 01:13 ?        00:00:00 /usr/libexec/gsd-keyboard
cecilia     1892    1605  0 01:13 ?        00:00:00 /usr/libexec/gsd-media-keys
cecilia     1893    1605  0 01:13 ?        00:00:00 /usr/libexec/gsd-power
cecilia     1894    1605  0 01:13 ?        00:00:00 /usr/libexec/gsd-print-notifications
cecilia     1896    1605  0 01:13 ?        00:00:00 /usr/libexec/gsd-rfkill
cecilia     1898    1605  0 01:13 ?        00:00:00 /usr/libexec/gsd-screensaver-proxy
cecilia     1899    1605  0 01:13 ?        00:00:00 /usr/libexec/gsd-sharing
cecilia     1909    1605  0 01:13 ?        00:00:00 /usr/libexec/gsd-smartcard
cecilia     1911    1605  0 01:13 ?        00:00:00 /usr/libexec/gsd-sound
cecilia     1919    1605  0 01:13 ?        00:00:00 /usr/libexec/gsd-wacom
cecilia     1937    1881  0 01:13 ?        00:00:00 /usr/bin/ibus-daemon --panel disable
cecilia     1969    1605  0 01:13 ?        00:00:00 /usr/bin/spice-vdagent
cecilia     1976    1744  0 01:13 ?        00:00:00 /usr/bin/Xwayland :0 -rootless -noreset -accessx -core -auth /run/user/1000/.mutter-Xwaylandauth.1FRIH2 -listen 4 -listen 5 -displayfd 6 -initfd 7
cecilia     1983    1605  0 01:13 ?        00:00:00 /usr/libexec/gsd-printer
cecilia     2004    1937  0 01:13 ?        00:00:00 /usr/libexec/ibus-memconf
cecilia     2005    1937  0 01:13 ?        00:00:00 /usr/libexec/ibus-extension-gtk3
cecilia     2008    1605  0 01:13 ?        00:00:00 /usr/libexec/ibus-portal
cecilia     2018    1937  0 01:13 ?        00:00:00 /usr/libexec/ibus-engine-simple
cecilia     2020    1605  0 01:13 ?        00:00:00 /usr/libexec/xdg-desktop-portal
cecilia     2031    1605  0 01:13 ?        00:00:00 /usr/libexec/tracker-miner-fs-3
cecilia     2032    1605  0 01:13 ?        00:00:00 /usr/libexec/xdg-document-portal
cecilia     2036    1605  0 01:13 ?        00:00:00 /usr/bin/gjs /usr/share/gnome-shell/org.gnome.ScreenSaver
root        2039    2032  0 01:13 ?        00:00:00 fusermount3 -o rw,nosuid,nodev,fsname=portal,auto_unmount,subtype=portal -- /run/user/1000/doc
cecilia     2053    1605  0 01:13 ?        00:00:00 /usr/libexec/xdg-desktop-portal-gnome
cecilia     2089    1605  0 01:13 ?        00:00:00 /usr/libexec/gsd-xsettings
cecilia     2109    1605  0 01:13 ?        00:00:00 /usr/libexec/xdg-desktop-portal-gtk
cecilia     2146    1605  0 01:13 ?        00:00:00 /usr/libexec/ibus-x11
root        2163       1  0 01:13 ?        00:00:00 /usr/libexec/ubuntu-advantage-desktop-daemon
cecilia     2185    1727  0 01:13 ?        00:00:00 /usr/libexec/evolution-data-server/evolution-alarm-notify
cecilia     2191    1727  0 01:13 ?        00:00:00 /usr/libexec/gsd-disk-utility-notify
root        4034       2  0 01:14 ?        00:00:01 [kworker/1:3-events]
cecilia     4295    1727  0 01:14 ?        00:00:00 update-notifier
cecilia     4453    1605  0 01:14 ?        00:00:00 /usr/bin/ubuntu-report service
cecilia     4524    1605  0 01:19 ?        00:00:00 /usr/bin/python3 /usr/bin/gnome-terminal --wait
cecilia     4525    4524  0 01:19 ?        00:00:00 /usr/bin/gnome-terminal.real --wait
cecilia     4530    1605  0 01:19 ?        00:00:02 /usr/libexec/gnome-terminal-server
cecilia     4548    4530  0 01:19 pts/0    00:00:00 bash
root        5284       2  0 01:26 ?        00:00:01 [kworker/3:0-events]
root        5427       2  0 04:05 ?        00:00:00 [kworker/u8:2-events_unbound]
root        5431       2  0 04:22 ?        00:00:00 [kworker/u8:0-events_power_efficient]
root        5451       2  0 04:23 ?        00:00:00 [kworker/u8:3-events_power_efficient]
cecilia     5461    1744  0 04:23 ?        00:00:00 gjs /usr/share/gnome-shell/extensions/ding@rastersoft.com/ding.js -E -P /usr/share/gnome-shell/extensions/ding@rastersoft.com -M 0 -D 0:0:1280:800:1:27:0:0:0:0
root        5501       2  0 04:23 ?        00:00:00 [kworker/0:0-events]
root        5569       2  0 04:29 ?        00:00:00 [kworker/0:1-events]
cecilia     6121    4548  0 04:32 pts/0    00:00:00 ps -ef
